source_path,sanitized_basename,public_url,target_blog_slug,target_blog_path,target_search_intent,author_id,author_email,author_role,reviewer_id,reviewer_email,reviewer_role,disclaimer_key,status
"/media/danezhang/Elements/seo/blog/ebook/Psyching out diabetes  a positive approach to your negative emotions (Rubin, Richard R, Biermann, June Toohey etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Psyching-out-diabetes.pdf","https://download.tangyou.space/20260328/Psyching-out-diabetes.pdf","psychology-negative-emotions-diabetes-rehabilitation","/blog/rehabilitation/diet/psychology-negative-emotions-diabetes-rehabilitation","糖尿病心理调适 负面情绪管理",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Psyching out diabetes  a positive approach to your negative emotions (Rubin, Richard R, Biermann, June Toohey etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Psyching-out-diabetes.pdf","https://download.tangyou.space/20260328/Psyching-out-diabetes.pdf","psychology-negative-emotions-diabetes-rehabilitation-en","/blog/rehabilitation/diet/psychology-negative-emotions-diabetes-rehabilitation-en","psychology negative emotions diabetes rehabilitation guide",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Practical carbohydrate counting  a how-to-teach guide for health professionals (Warshaw, Hope S., 1954-, Bolderman etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Practical-carbohydrate-counting.pdf","https://download.tangyou.space/20260328/Practical-carbohydrate-counting.pdf","carbohydrate-counting-diabetes-treatment","/blog/treatment/diet/carbohydrate-counting-diabetes-treatment","碳水化合物计算 糖尿病饮食管理",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Practical carbohydrate counting  a how-to-teach guide for health professionals (Warshaw, Hope S., 1954-, Bolderman etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf","Practical-carbohydrate-counting.pdf","https://download.tangyou.space/20260328/Practical-carbohydrate-counting.pdf","carbohydrate-counting-diabetes-treatment-en","/blog/treatment/diet/carbohydrate-counting-diabetes-treatment-en","carbohydrate counting diabetes treatment diet guide",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/The Diabetes Dictionary, 2nd ed What Every Person with Diabetes Needs to Know (American Diabetes Association).pdf","The-Diabetes-Dictionary-2nd-ed.pdf","https://download.tangyou.space/20260328/The-Diabetes-Dictionary-2nd-ed.pdf","diabetes-dictionary-prevention","/blog/prevention/diet/diabetes-dictionary-prevention","糖尿病词典 ADA权威术语解释",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/The Diabetes Dictionary, 2nd ed What Every Person with Diabetes Needs to Know (American Diabetes Association).pdf","The-Diabetes-Dictionary-2nd-ed.pdf","https://download.tangyou.space/20260328/The-Diabetes-Dictionary-2nd-ed.pdf","diabetes-dictionary-prevention-en","/blog/prevention/diet/diabetes-dictionary-prevention-en","diabetes dictionary ADA terminology guide",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Medical Management of Type 1 Diabetes (Francine R. Kaufman) (Z-Library).pdf","Medical-Management-of-Type-1-Diabetes.pdf","https://download.tangyou.space/20260328/Medical-Management-of-Type-1-Diabetes.pdf","type-1-diabetes-medical-management-treatment","/blog/treatment/diet/type-1-diabetes-medical-management-treatment","1型糖尿病医学管理 临床指南",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Medical Management of Type 1 Diabetes (Francine R. Kaufman) (Z-Library).pdf","Medical-Management-of-Type-1-Diabetes.pdf","https://download.tangyou.space/20260328/Medical-Management-of-Type-1-Diabetes.pdf","type-1-diabetes-medical-management-treatment-en","/blog/treatment/diet/type-1-diabetes-medical-management-treatment-en","type 1 diabetes medical management clinical guide",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Type 2 Diabetes Methods and Protocols (Claire J. Stocker).pdf","Type-2-Diabetes-Methods-and-Protocols.pdf","https://download.tangyou.space/20260328/Type-2-Diabetes-Methods-and-Protocols.pdf","type-2-diabetes-methods-protocols-treatment","/blog/treatment/diet/type-2-diabetes-methods-protocols-treatment","2型糖尿病方法与方案 临床protocol",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
"/media/danezhang/Elements/seo/blog/ebook/Type 2 Diabetes Methods and Protocols (Claire J. Stocker).pdf","Type-2-Diabetes-Methods-and-Protocols.pdf","https://download.tangyou.space/20260328/Type-2-Diabetes-Methods-and-Protocols.pdf","type-2-diabetes-methods-protocols-treatment-en","/blog/treatment/diet/type-2-diabetes-methods-protocols-treatment-en","type 2 diabetes methods protocols clinical treatment",yyh,yyh@tangyou.space,糖尿病治疗医生,kelvin,kelvin@tangyou.space,糖尿病研究人员,medical-information-only,ready
